Key,Law,Domain,Law_Summary,,,,,,,,,,,,,,,,,,,,,,
109,"A court or Commission may permit to give or obtain any evidence or make any statement, or obtain and record any evidence or statement through contemporaneous audio-visual linkage from a remote location, only if it is satisfied that the technical requirements specified below are met:
(a) the premises in which the court or Commission sits and the remote location are equipped with adequate facilities that:
(i) enable the persons who are directly relevant to the proceedings and present at such premises, to see and hear the persons who are directly relevant to the proceedings and present at such remote location and
(ii) enable the persons who are directly relevant to the proceedings and present at such remote location, to see and hear the persons who are directly relevant to the proceedings and present at such premises
(b) any requirement that may be prescribed by rules of the court or Commission, for or with respect to:
(i) the form of audio-visual linkage
(ii) the equipment or class of equipment used to establish the linkage
(iii) the layout of cameras
(iv) the standard or speed of transmission
(v) the quality of communication and
(vi) any other matter relating to the linkage and
(c) any other requirement that the presiding judge, Magistrate, or Commission may deem necessary: Provided however, the requirements that may be imposed by the presiding judge, Magistrate, or Commission under this paragraph shall not be inconsistent with any provision contained in this section.",Criminal Law,"A court or Commission may allow the use of audio-visual linkage for evidence or statements from a remote location if certain technical requirements are met. These include ensuring that both the court premises and the remote location have adequate facilities for participants to see and hear each other. The court must adhere to prescribed rules regarding the form of audio-visual linkage, equipment specifications, camera layout, transmission standards, communication quality, and any other necessary requirements, as deemed fit by the presiding judge, Magistrate, or Commission.",,,,,,,,,,,,,,,,,,,,,,
110,"(1) A court or Commission, prior to commencing the recording of evidence or statement of a victim of crime or witness through contemporaneous audio-visual linkage from any remote location, shall, on the day and at the time fixed for such purpose:
(a) satisfy itself that such contemporaneous audio-visual linkage is technically accurate and reliable and
(b) ensure that a judicial officer or public officer who shall be designated by such court or Commission is present at such remote location.
(2) The court or Commission may require the judicial officer or public officer designated under paragraph ( b) of subsection (1) to:
(a) interview, before or after recording of the statement, the victim of crime or witness and any other person directly relevant to the proceedings and present at such remote location and
(b) submit a report along with his observations, to such court or Commission stating whether the victim of crime or witness is or was making the statement voluntarily and without any coercion, duress or influence or as a result of any reward or gratification, and such officer shall comply with such requirement.
(3) For the purposes of this section, ""public officer"" includes an officer serving in the Sri Lanka Foreign Service.",Criminal Law,"Before recording the evidence or statement of a victim of crime or witness through audio-visual linkage from a remote location, a court or Commission must ensure the technical accuracy and reliability of the linkage. Additionally, a designated judicial officer or public officer must be present at the remote location. The court or Commission may instruct the designated officer to interview the victim of crime or witness, along with any other relevant persons at the remote location, before or after recording the statement. The officer is required to submit a report to the court or Commission, stating whether the statement was made voluntarily and without coercion, duress, influence, or any form of reward or gratification. The term ""public officer"" includes an officer serving in the Sri Lanka Foreign Service.",,,,,,,,,,,,,,,,,,,,,,
111,"A court or Commission shall, before granting permission to a victim of crime, witness, or law enforcement authority, to give or obtain evidence, or to make a statement, as the case may be, through contemporaneous audio-visual linkage from a remote location under Criminal Law, determine whether the obtaining and recording of such evidence or statement through such means from such location-
(a) serves the best interests of justice and
(b) would not be detrimental to the right of an accused to a fair trial.",Criminal Law,"Before permitting a victim of crime, witness, or law enforcement authority to provide or obtain evidence or make a statement through audio-visual linkage from a remote location, a court or Commission must assess whether such recording:
(a) serves the best interests of justice and
(b) does not harm the accused's right to a fair trial.",,,,,,,,,,,,,,,,,,,,,,
112,"Where any evidence or statement of any victim of crime or witness is to be given or obtained or made from any remote location outside Sri Lanka under Criminal Law, it shall be so given or obtained or made through contemporaneous audio-visual linkage from the Sri Lankan diplomatic mission in the country from where such evidence or statement is to be given or obtained or made.",Criminal Law,"When obtaining evidence or a statement from a victim of crime or witness located outside Sri Lanka through audio-visual linkage, it should be done from the Sri Lankan diplomatic mission in the country where the evidence or statement is to be provided.",,,,,,,,,,,,,,,,,,,,,,
113,"The court or Commission may, in the best interest of justice and for reasons to be recorded, make an order varying or revoking a permission granted to record evidence or statement in relation to any proceedings through contemporaneous audio-visual linkage from a remote location, with notice to the relevant parties to such proceedings.",Criminal Law,"The court or Commission, for reasons recorded and in the best interest of justice, can issue an order to modify or revoke the permission granted for recording evidence or statements through audio-visual linkage from a remote location. Notice must be provided to the relevant parties in the proceedings.",,,,,,,,,,,,,,,,,,,,,,
114,"(1) A victim of crime or witness giving evidence or making a statement through contemporaneous audio-visual linkage from a remote location under this Part of Criminal Law shall be deemed for all purposes to be a victim of crime or witness giving evidence or making a statement before the court.
(2) For the purposes of this Part of Criminal Law, ""court"" means a court before which any criminal proceedings are being conducted.",Criminal Law,"A victim of crime or witness providing evidence or making a statement through audio-visual linkage from a remote location is considered, for all intents and purposes, as if they were physically present before the court. In this context, ""court"" refers to any court involved in criminal proceedings.",,,,,,,,,,,,,,,,,,,,,,
115,"(1) The Authority shall have its own Fund.
(2) There shall be paid into the Fund of the Authority:
(a) all such sums of money as may be voted upon from time to time by Parliament for the use of the Authority and
(b) all such sums of money may be received by the Authority by way of gifts, donations, contributions, bequests, or grants from any source within or outside Sri Lanka.
(3) There shall be paid out of the Fund of the Authority all such sums of money required to defray the expenditure incurred by the Authority in the exercise, performance, and discharge of its powers, duties, and functions under Criminal Law.",Criminal Law,"The Authority shall maintain its own Fund, which will receive financial allocations from Parliament and funds generated through gifts, donations, contributions, bequests, or grants from within or outside Sri Lanka. The Fund will be utilized to cover the expenses incurred by the Authority in carrying out its powers, duties, and functions.",,,,,,,,,,,,,,,,,,,,,,
116,"(1) There shall be a fund called the Victims of Crime and Witnesses Assistance and Protection Fund (in Criminal Law referred to as the ""Protection Fund"").
(2) The Protection Fund shall be administered and managed by the Authority.
(3) There shall be paid into the Protection Fund:
(a) all such sums of money as may be voted upon from time to time by Parliament for such Protection Fund
(b) all such sums of money as may be received by the Authority to be remitted to the Protection Fund by way of gifts, donations, contributions, bequests, or grants from any source within or outside Sri Lanka and
(c) all such sums of money remitted by a court under subsection (1) of section 65.
(4) There shall be paid out of the Protection Fund all such sums of money as may be determined by the Authority for the payment of:
(a) compensation to victims of crime for any injury caused to them
(b) interim awards of money granted to victims of crime under section 70 and
(c) compensation to dependent family members, dependent next of kin, and any other person dependent on a victim of crime who has died or been physically or mentally incapacitated as a result of being a victim of crime.
(5) The Director-General shall be the principal accounting officer of the Protection Fund and shall cause proper books of accounts to be kept of the income and expenditure and assets and liabilities of the Protection Fund.",Criminal Law,"The Victims of Crime and Witnesses Assistance and Protection Fund, referred to as the ""Protection Fund,"" will be established and overseen by the Authority. The fund will receive financial allocations from Parliament, as well as funds from gifts, donations, contributions, bequests, or grants from various sources within or outside Sri Lanka. Additionally, money remitted by a court under section 65(1) will contribute to the Protection Fund. The fund will be utilized for compensating victims of crime for injuries, providing interim awards to victims under section 70, and offering compensation to dependents and family members affected by a victim's death or incapacitation due to crime. The Director-General will serve as the principal accounting officer for the Protection Fund, ensuring proper financial records are maintained.",,,,,,,,,,,,,,,,,,,,,,
117,"(1) The financial year of the Authority shall be the calendar year.
(2) The Board shall cause proper books of accounts to be kept of the income, expenditure, assets and liabilities and all other financial transactions of the Authority.
(3) The provisions of Article 154 of the Constitution relating to the audit of the accounts of public corporations shall apply to and in relation to the audit of the accounts of the Fund of the Authority and the Protection Fund.
(4) The provisions of Part II of the Finance Act, No. 38 of 1971 shall, mutatis mutandis, apply to the financial control and accounts of the Fund of the Authority and the Protection Fund.",Criminal Law,"The financial year of the Authority is the calendar year. The Board is responsible for maintaining proper financial records, including income, expenditure, assets, liabilities, and other financial transactions. The audit of the accounts of the Authority's Fund and the Protection Fund will follow the provisions of Article 154 of the Constitution regarding the audit of public corporations. Additionally, Part II of the Finance Act, No. 38 of 1971, will apply, with necessary adjustments, to the financial control and accounts of both funds.",,,,,,,,,,,,,,,,,,,,,,
118,"(1) The Authority shall, within six months of the end of each financial year, submit to the Minister an annual report of the activities carried out by the Authority during that financial year and cause a copy of each of the following documents relating to that year to be attached to the report:
(a) the audited accounts of the Authority for the year along with the Auditor-General's report and
(b) a report of proposed activities for the year immediately following the year to which such reports and accounts relate, including proposals for necessary policy and legislative reforms.
(2) The Minister shall lay copies of the report and documents submitted under subsection (1) before Parliament, within two months from the date of receipt thereof.",Criminal Law,"The Authority is required to submit an annual report on its activities, including audited accounts and the Auditor-General's report, to the Minister within six months of the end of each financial year. The report must also include proposed activities and reforms for the following year. The Minister is then responsible for presenting copies of the report and related documents to Parliament within two months of receiving them.",,,,,,,,,,,,,,,,,,,,,,
119,"Any person who, without lawful authority, interferes or obstructs or attempts to interfere or obstruct any court, Commission, the Authority, Board, Protection Division, Advisory Board, law enforcement authority or any public or judicial officer, in the exercise, performance or discharge of any power, duty or function under Criminal Law, commits an offense under Criminal Law and shall, on conviction by the High Court, be liable to a fine not exceeding three hundred thousand rupees or to imprisonment of either description for a period not exceeding five years or to both such fine and imprisonment.",Criminal Law,"Any individual who, without lawful authority, hinders, obstructs, or attempts to hinder or obstruct the activities of various entities or officials involved in the implementation of this Act may be charged with an offense. Upon conviction by the High Court, the individual could face a fine not exceeding three hundred thousand rupees or imprisonment for a maximum period of five years, or both.",,,,,,,,,,,,,,,,,,,,,,
120,"Where an offense under Criminal Law is committed by a body of persons, then, if that body of persons is Criminal Law:
(a) a body corporate, then every person who, at the time of the commission of the offense, was a director, manager, officer or servant of such body corporate
(b) a firm, then every person who was a partner of that firm and its chief executive officer, at the time of the commission of the offense
(c) an unincorporated body other than a firm, then every individual who was a member of such body and every officer who was responsible for the management and control of such body, at the time of the commission of the offense or
(d) a local authority or any other authority appointed by or under any law relating to a local authority to act on behalf of such local authority, then the person who was the Chairman of such authority, at the time of the commission of the offense, shall be deemed to have committed that offense, unless such person, individual, officer or Chairman, as the case may be, proves to the satisfaction of the court that the offense was committed without his knowledge or that such person exercised all due diligence to prevent the commission of that offense.",Criminal Law,"In case an offense under the criminal law is committed by a group of individuals or an organization:
For a body corporate, the directors, managers, officers, or servants at the time of the offense may be deemed to have committed the offense.
In the case of a firm, partners and the chief executive officer at the time of the offense may be deemed responsible.
In the case of an unincorporated body (other than a firm), every member and officer responsible for management at the time of the offense may be deemed to have committed the offense.
For a local authority or any appointed authority, the Chairman at the time of the offense may be deemed responsible. However, any such individual may avoid liability by proving to the court that the offense occurred without their knowledge or that they took all due diligence to prevent it.",,,,,,,,,,,,,,,,,,,,,,
121,"(1) No person shall, in any proceedings, be compelled to divulge whether a victim of crime or witness is receiving or has received assistance or protection under Criminal Law, unless it becomes necessary for the purpose of giving effect to the provisions of Criminal Law or any other written law.
(2) No person shall, otherwise than for the purpose of giving effect to the provisions of Criminal Law or in compliance with the provisions of any other written law, divulge to any other person whether a victim of crime or witness is receiving or has received assistance or protection under Criminal Law.",Criminal Law,"Individuals involved in proceedings are protected from being compelled to disclose whether a victim of crime or witness is receiving assistance or protection. Such information can only be revealed if necessary for implementing the provisions of this Act or any other written law. Additionally, disclosing such information to others, except for the mentioned purposes, is prohibited by law.",,,,,,,,,,,,,,,,,,,,,,
122,"In assessing the credibility of testimony given by a victim of crime or witness in any court or Commission, the fact that a victim of crime or witness is receiving or has received any assistance or protection under Criminal Law shall not be relevant.",Criminal Law,"The law states that, in any court or Commission, the fact that a victim of crime or witness is receiving or has received assistance or protection is not relevant when assessing the credibility of their testimony.",,,,,,,,,,,,,,,,,,,,,,
123,"The Members of the Board, the Director-General, and all other officers and employees of the Authority, and consultants and advisors appointed by the Authority, shall be deemed to be public servants within the meaning and for the purposes of the Penal Code (Chapter 19) and of the Code of Criminal Procedure Act.",Criminal Law,"The Members of the Board, the Director-General, and all other officers and employees of the Authority, as well as consultants and advisors appointed by the Authority, are considered public servants for the purposes of the Penal Code (Chapter 19) and the Code of Criminal Procedure Act.",,,,,,,,,,,,,,,,,,,,,,
124,Every officer of or above the rank of Assistant Director of the Authority shall be a peace officer for the purposes of the Code of Criminal Procedure Act.,Criminal Law,Every officer at or above the rank of Assistant Director in the Authority is designated as a peace officer for the purposes of the Code of Criminal Procedure Act.,,,,,,,,,,,,,,,,,,,,,,
125,"The Authority shall be deemed to be a Scheduled Institution within the meaning of the Anti-Corruption Act, No. 9 of 2023, and the provisions of that Act shall be construed accordingly.",Criminal Law,"The Authority is considered a Scheduled Institution under the Anti-Corruption Act, No. 9 of 2023, and the provisions of that Act apply accordingly.",,,,,,,,,,,,,,,,,,,,,,
126,"(1) The Authority may make rules in respect of matters for which rules are required to be made under Criminal Law, including the following matters:
(a) terms and conditions of employment, remuneration and disciplinary control of officers and other employees of the Authority, and welfare and social security schemes for such officers and employees under section 52 and
(b) ensuring the confidentiality of the affairs of the Protection Division and impartiality and accountability of the police officers of the Protection Division under section 54.
(2) Every rule made by the Authority under subsection (1) shall, as soon as may be practicable, be published in the Gazette.",Criminal Law,"The Authority has the power to make rules concerning various matters, such as the terms of employment for its officers and employees and ensuring confidentiality, impartiality, and accountability in the Protection Division. These rules must be published in the Gazette.",,,,,,,,,,,,,,,,,,,,,,
127,"(1) The Minister may make regulations under Criminal Law in respect of all matters which are required by Criminal Law to be prescribed or in respect of which regulations are authorized to be made under Criminal Law.
(2) Every regulation made by the Minister shall be published in the Gazette and shall come into operation on the date of such publication, or on such later date as may be specified therein.
(3) (a) Every regulation made by the Minister shall, within three months after its publication in the Gazette, be brought before Parliament for approval.
(b) Any regulation which is not so approved shall be deemed to be rescinded as from the date of such disapproval, but without prejudice to anything previously done thereunder.
(4) Notification of the date on which any regulation made by the Minister is deemed to be so rescinded shall be published in the Gazette.",Criminal Law,"The Minister has the authority to make regulations covering all matters prescribed by the Act or for which regulations are authorized. These regulations must be published in the Gazette and come into operation on the specified date. Regulations must be presented to Parliament for approval within three months of publication, and any regulation not approved is deemed rescinded, with notification of the rescission published in the Gazette.




",,,,,,,,,,,,,,,,,,,,,,
128,"(1) The Assistance to and Protection of Victims of Crime and Witnesses Act, No. 4 of 2015 is hereby repealed.
(2) With the repeal of the Assistance to and Protection of Victims of Crime and Witnesses Act, No. 4 of 2015 (in this section referred to as the ""Repealed Act""):
(a) every appointed member of the Board of Management of the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act holding office on the day immediately preceding the appointed Regulations Repeal and Savings date shall, with effect from the appointed date, be deemed to be a member of the Board of Management of the Authority established under Criminal Law and shall, unless he earlier resigns, dies, or is removed from office, continue to hold office as such member until the expiration of his term of office for which he has been appointed
(b) all employees who were in the employment of the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act on the day immediately preceding the appointed date shall, with effect from the appointed date, be deemed to be employees of the Authority established under Criminal Law
(c) all suits, prosecutions, actions, proceedings, matters, or things which have been instituted by or against the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act and which are pending on the day immediately preceding the appointed date shall, with effect from the appointed date, be deemed to be suits, prosecutions, actions, proceedings, matters, or things which have been instituted by or against the Authority established under Criminal Law
(d) any decree, order, or award entered or made in favor of or against the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act by any court or tribunal or other body in any action, matter, proceeding, or thing shall, with effect from the appointed date, be deemed to be a decree, order, or award entered or made in favor of or against the Authority established under this Act and may be enforced accordingly
(e) all property movable or immovable, belonging to the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act on the day immediately preceding the appointed date shall, with effect from the appointed date, vest in and be deemed to be the property of the Authority established under Criminal Law.
(f) all monies lying to the credit of the Victims of Crime and Witnesses Assistance and Protection Fund established under the repealed Act on the day immediately preceding the appointed date shall, with effect from the appointed date, stand transferred to the Protection Fund established under Criminal Law
(g) all monies lying to the credit of the Fund of the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act on the day immediately preceding the appointed date shall, with effect from the appointed date, stand transferred to the Fund of the Authority established under Criminal Law
(h) all contracts and agreements entered into by and with the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act and subsisting on the day immediately preceding the appointed date shall be deemed to be contracts and agreements entered into by and with the Authority established under Criminal Law and
(i) all debts, obligations, and liabilities of the National Authority for the Protection of Victims of Crime and Witnesses established under the repealed Act and subsisting on the day immediately preceding the appointed date shall, with effect from the appointed date, be deemed to be debts, obligations, and liabilities of the Authority established under Criminal Law.",Criminal Law,"The Assistance to and Protection of Victims of Crime and Witnesses Act, No. 4 of 2015 is repealed, and the following provisions apply with the repeal:
Members and employees of the National Authority for the Protection of Victims of Crime and Witnesses under the repealed Act are deemed to be members and employees of the new Authority established.
Suits, prosecutions, actions, proceedings, matters, or things pending with the National Authority are deemed to be transferred to the new Authority.
Decrees, orders, or awards in favor of or against the National Authority are deemed to be applicable to the new Authority.
Property, movable or immovable, belonging to the National Authority is transferred to and deemed property of the new Authority.
Monies in the Victims of Crime and Witnesses Assistance and Protection Fund are transferred to the Protection Fund under the current Act.
Monies in the Fund of the National Authority are transferred to the Fund of the new Authority.
Contracts and agreements with the National Authority are deemed to be with the new Authority.
Debts, obligations, and liabilities of the National Authority are deemed to be debts, obligations, and liabilities of the new Authority.",,,,,,,,,,,,,,,,,,,,,,
129,"In Criminal Law, unless the context otherwise requires: ""child victim of crime"" and ""child witness"" respectively mean a person who is less than eighteen years of age and who is either a victim of crime or is a witness ""Code of Criminal Procedure Act"" means the Code of Criminal Procedure Act, No. 15 of 1979
""Commission"" includes:
(a) a Commission of Inquiry appointed under the Commissions of Inquiry Act (Chapter 393)
(b) a Special Presidential Commission of Inquiry established under the Special Presidential Commissions of Inquiry Law, No. 7 of 1978
(c) the Commission to Investigate Allegations of Bribery or Corruption established by the Anti-Corruption Act, No. 9 of 2023
(d) the Human Rights Commission of Sri Lanka established by the Human Rights Commission of Sri Lanka Act, No. 21 of 1996 and
(e) any other Commission empowered by law to conduct inquiries
""ICCPR Act"" means the International Covenant on Civil and Political Rights Act, No. 56 of 2007
""injury"" means any harm whatever illegally caused to the body, mind, reputation, or property of any person and includes any impairment or disability, emotional suffering, economic or other loss caused as a result of an act or omission constituting an alleged:
(a) offense under any law
(b) infringement of any fundamental right guaranteed under Article 11 or paragraph (1) or (2) of Article 13 of the Constitution or
(c) violation of any right granted under the ICCPR Act
""law enforcement authority"" means a police officer or any other person authorized by or under any written law to investigate into the commission of an offense
""Minister"" means the Minister assigned the subject of Justice
""organized criminal group"" means a group of persons who have organized themselves to commit crime
""public authority"" means any authority, corporation, board, or other body established by or under any written law other than the Companies Act, No. 07 of 2007 with funds or capital wholly or partially provided by the Government by way of grant, loan or otherwise
""relevant authority"" means a law enforcement authority or public authority which lawfully interacts with the victim of crime or witness depending on the circumstances of each case
""restorative justice"" means the evolvement of a procedure through which all parties to a dispute would be engaged in a conciliatory process for the purpose of achieving the goals of justice
""victim of crime"" means a person who has suffered any injury and includes, where appropriate:
(a) a member of the family of the victim of crime or a dependent of the victim of crime
(b) a person of significant importance to a victim of crime
(c) a person who suffers injury in intervening to assist a victim of crime
(d) a person who suffers injury in preventing another person from victimization and
(e) a child victim of crime and
""witness"" means any person who:
(a) has provided any information or lodged a complaint with any law enforcement authority and based upon such information or complaint, an investigation or inquiry is likely to commence or has commenced, in connection with the alleged commission of an offense or infringement of any fundamental right or violation of any right granted under the ICCPR Act
(b) has provided any information or made a statement in the course of an investigation or inquiry conducted by a law enforcement authority into the alleged commission of an offense or infringement of any fundamental right or violation of any right granted under the ICCPR Act
(c) has made a statement, submitted an affidavit or has testified, in relation to a complaint made by a victim of crime or in any legal action instituted by, or on behalf, of a victim of crime
(d) has provided any information or communication to a Commission or has given evidence before a Commission
(e) has reasonable grounds to believe that he may be summoned by a court or Commission to participate in any manner in any proceedings, investigation or inquiry against any other person based on any information provided or a statement made to a law enforcement authority, court or Commission, or based on a deposition or an affidavit submitted by him
(f) has received summons from a court or Commission to make a statement, submit an affidavit, testify or produce any document, report or object relating to any proceedings before such court or Commission or
(g) being a public officer, has been involved in any manner in the administration of justice in relation to the alleged commission of an offense or infringement of any fundamental right or violation of any right granted under the ICCPR Act, and includes:
(i) a victim of crime
(ii) a child witness
(iii) a parent or guardian of a child witness
(iv) a family member or a dependent, of such witness
(v) any other person of significant importance to any witness
(vi) an expert witness and
(vii) any person who has been summoned to testify before a court or Commission on behalf of a person suspected or accused of the alleged commission of an offense or infringement of any fundamental right or violation of any right granted under the ICCPR Act.",Criminal Law,"This Act provides definitions for key terms used within its provisions:
Child victim of crime and child witness: Individuals below eighteen years old, either victims of crime or witnesses. Code of Criminal Procedure Act: Refers to the Code of Criminal Procedure Act, No. 15 of 1979.
Commission: Includes various commissions empowered by law to conduct inquiries.
ICCPR Act: Refers to the International Covenant on Civil and Political Rights Act, No. 56 of 2007.
Injury: Any harm to body, mind, reputation, or property, including emotional suffering, economic loss, or impairment caused by an offense, infringement of rights, or violation under relevant laws.
Law enforcement authority: Encompasses police officers and individuals authorized to investigate offenses.
Minister: The Minister assigned the subject of Justice.
Organized criminal group: A group of individuals organized to commit crimes.
Public authority: Any body funded partially or wholly by the Government with funds or capital provided through grants, loans, or other means.
Relevant authority: Law enforcement or public authority interacting with victims or witnesses as per the circumstances.
Restorative justice: A conciliatory process involving all parties to a dispute to achieve justice goals.
Victim of crime: An individual suffering injury, including family members, dependents, significant others, interveners, and child victims of crime.
Witness: Any person involved in various capacities related to investigations, inquiries, legal actions, or court proceedings, including victims, child witnesses, parents, guardians, family members, experts, and individuals summoned to testify on behalf of a suspected or accused person.




",,,,,,,,,,,,,,,,,,,,,,
130,"(1) Any person who:
(a) hires, employs, assists, persuades, uses, induces any child to appear or perform in any obscene or indecent exhibition or show or to pose or model for, or to appear in any obscene or indecent photograph or film or who sells or distributes or otherwise publishes or has in his possession any such photograph or film or
(b) being the parent, guardian, or person having the custody of a child, causes or allows such child to be employed or to participate in any obscene or indecent exhibition or show or to pose or model for, or to in paragraph (a)
(c) (i) takes or assists in taking any indecent photograph of a child or
(ii) distributes or shows any such photograph or any publication containing such photograph
(iii) has in his possession for distribution or showing any such photograph or publication
(iv) publishes or causes to be published any such photograph or publishes or causes to be published any advertisement capable of conveying the message that the advertiser or person named in the advertisement distributes or shows any such photograph or publication or intends to do so, commits the offense of obscene publication and exhibition relating to children and shall on conviction be punished with imprisonment of either description for a term not less than two years and not exceeding ten years and may also be punished with a fine.
(2) In this section - ""child"" means a person under eighteen years of age and ""film"" includes any form of video recording.",Criminal Law,"offenses related to obscene publications and exhibitions involving children:
Offense: 
Any person engaging in activities such as hiring, employing, persuading, or using a child in obscene exhibitions, shows, photographs, or films, or distributing, publishing, or possessing such material, is committing the offense of obscene publication and exhibition related to children.
Penalties: 
Offenders, upon conviction, may face imprisonment for a term not less than two years and not exceeding ten years.
Additionally, fines may be imposed on the convicted individuals.
Definition: 
Child: A person under eighteen years of age.
Film: Encompasses any form of video recording.
This law aims to protect children from exploitation and the production or distribution of indecent material involving them.",,,,,,,,,,,,,,,,,,,,,,
131,"The following new section is hereby inserted immediately after section 308, and shall have effect as section 308A of the principal enactment:
(1) Whoever, having the custody, charge, or care of any person under eighteen years of age, wilfully assaults, ill-treats, neglects, or abandons such person or causes or procures such person to be assaulted, ill-treated, neglected, or abandoned in a manner likely to cause him suffering or injury to health (including injury to, or loss of sight or hearing, or limb or organ of the body or any mental derangement), commits the offense of cruelty to children.
(2) Whoever commits the offense of cruelty to children shall, on conviction, be punished with imprisonment of either description for a term not less than two years and not exceeding ten years and may also be punished with a fine and be ordered to pay compensation of an amount determined by the court to the person in respect of whom the offense was committed for the injuries caused to such person.",Criminal Law,"Offense:
Anyone having custody, charge, or care of a person under eighteen years of age, who willfully assaults, ill-treats, neglects, or abandons that person, or causes or procures such actions in a manner likely to cause suffering or injury to health, commits the offense of cruelty to children.
Penalties:
Upon conviction, the offender may face imprisonment for a term not less than two years and not exceeding ten years.
The court may impose a fine on the convicted individual.
The court may also order the offender to pay compensation, the amount of which is determined by the court, to the victim for the injuries caused.
This law aims to protect children from intentional harm, ensuring legal consequences for those found guilty of cruelty towards minors.",,,,,,,,,,,,,,,,,,,,,,
132,"The following kinds of hurt only are designated as ""grievous"":
(a) emasculation
(b) permanent privation or impairment of the sight of either eye
(c) permanent privation or impairment of the hearing of either ear
(d) privation of any member or joint
(e) destruction or permanent impairment of the powers of any member or joint
(f) permanent disfiguration of the head or face
(g) cut or fracture of bone, cartilage, or tooth or dislocation or subluxation of bone, joint, or tooth
(h) any injury which endangers life or in consequence of which an operation involving the opening of the thoracic, abdominal, or cranial cavities is performed
(i) any injury which causes the sufferer to be in severe bodily pain or unable to follow his ordinary pursuits for a period of twenty days either because of the injury or any operation necessitated by the injury.",Criminal Law,"The designated types of hurt categorized as ""grievous"" under this law include:
Emasculation
Permanent privation or impairment of sight in either eye
Permanent privation or impairment of hearing in either ear
Privation of any member or joint
Destruction or permanent impairment of the powers of any member or joint
Permanent disfiguration of the head or face
Cut or fracture of bone, cartilage, or tooth, or dislocation or subluxation of bone, joint, or tooth
Any injury endangering life or requiring an operation involving the opening of thoracic, abdominal, or cranial cavities
Any injury causing severe bodily pain or inability to pursue ordinary activities for a period of twenty days, either due to the injury or a necessary operation arising from it.
This law distinguishes specific severe injuries as ""grievous,"" indicating the seriousness of harm inflicted, often necessitating medical intervention or causing significant and prolonged impairment.",,,,,,,,,,,,,,,,,,,,,,
133,"Whoever, by assault or use of criminal force, sexually harasses another person or by the use of words or actions, causes sexual annoyance or harassment to such other person commits the offence of sexual harassment and shall on conviction be punished with imprisonment of either description for a term which may extend to five years or with fine or with both and may also be ordered to pay compensation of an amount determined by court to the person in respect of whom the offence was committed for the injuries caused to such person.
1. Unwelcome sexual advances by words or action used by a person in authority, in a working place or any other place shall constitute the offence of sexual harassment.
2. For the purposes of this section, an assault may include any act that does not amount to rape under section 363.",Criminal Law,"The law criminalizes sexual harassment, defining it as assaulting or using criminal force for sexual harassment or causing sexual annoyance through words or actions. The offense carries a punishment of imprisonment up to five years, a fine, or both. Additionally, the convicted person may be ordered to pay compensation to the victim for the injuries caused. The law specifies that unwelcome sexual advances by a person in authority in a workplace or any other location constitute sexual harassment. It clarifies that for the purposes of this section, assault includes acts not amounting to rape.",,,,,,,,,,,,,,,,,,,,,,
134,"Whoever:
(1) procures, or attempts to procure, any person, whether male or female of whatever age (whether with or without the consent of such person) to become, within or outside Sri Lanka, a prostitute
(2) procures, or attempts to procure, any person under sixteen years of age to leave Sri Lanka (whether with or without the consent of such person) with a view to illicit sexual intercourse with any person outside Sri Lanka, or removes, or attempts to remove, from Sri Lanka any such person (whether with or without the consent of such person) for the said purpose
(3) procures, or attempts to procure, any person of whatever age, to leave Sri Lanka (whether with or without the consent of such person) with the intent that such person may become the inmate of, or frequent, a brothel elsewhere, or removes, or attempts to remove, from Sri Lanka any such person (whether with or without the consent of such person) for the said purpose
(4) brings, or attempts to bring, into Sri Lanka any person under sixteen years of age with a view to illicit sexual intercourse with any other person, in Sri Lanka or outside Sri Lanka
(5) procures, or attempts to procure, any person of whatever age (whether with or without the consent of such person) to leave such person's usual place of abode in Sri Lanka (such place not being a brothel), with the intent that such person may, for the purposes of prostitution, become the inmate of, or frequent a brothel within or outside Sri Lanka
(6) detains any person without the consent of such person in any brothel with a view to illicit sexual abuse of such person, commits the offense of procuration and shall on conviction be punished with imprisonment of either description for a term of not less than two years and not exceeding ten years and may also be punished with a fine.",Criminal Law,"The law criminalizes procuration, defining it as actions to involve individuals in prostitution, particularly targeting minors. Offenses include procuring individuals for prostitution within or outside Sri Lanka, attempting to bring minors for illicit sexual activities, and detaining individuals in brothels for sexual abuse. The punishment upon conviction is imprisonment for a term not less than two years and not exceeding ten years, along with the possibility of a fine.",,,,,,,,,,,,,,,,,,,,,,\
